gene,SRR4457115_adjacent_normal_1,SRR4457116_adjacent_normal_2,SRR4457117_adjacent_normal_4,SRR4457118_adjacent_normal_3,SRR4457119_adjacent_normal_5,SRR4457120_primary_tumor_1,SRR4457121_primary_tumor_2,SRR4457122_primary_tumor_3,SRR4457123_primary_tumor_4,SRR4457124_primary_tumor_5,SRR4457125_liver_metastasis_4,SRR4457126_liver_metastasis_1,SRR4457127_liver_metastasis_5,SRR4457128_liver_metastasis_2,SRR4457129_liver_metastasis_3,SRR4457130_liver_normal_1,SRR4457131_liver_normal_2,SRR4457132_liver_normal_3,SRR4457133_liver_normal_4,SRR4457134_liver_normal_5
LIPT1,222.04016672073152,119.4318094050322,194.642126368481,240.32253906963368,200.44086457117638,226.7625129396643,169.94178451150037,207.5826147568996,225.20721469458616,151.3971558707575,192.6858534516804,155.33719647889998,153.6808460505579,138.87699262352618,342.7128486768246,194.66556761118682,222.03023859233883,194.3516187418338,199.32930338571626,205.76701616697372
FBXO38,390.9425157647066,655.3171455180461,618.1491705548463,880.9435163507768,558.3011398543498,926.3863900713417,824.7926458810038,769.8126434401637,1922.439240521384,991.5539049732873,932.5406953310334,556.5061947248664,676.0364678597081,1476.7051399051804,934.510809020826,389.33113522237363,695.3402082861867,592.2008147545288,350.81957395886064,1194.008604016521
L3MBTL2,989.6918542295853,893.1422268550232,899.4177377796292,864.4437599370406,927.8945389172992,725.1126867256708,498.32553352996354,712.5484738520536,741.6740394550757,944.7702344896197,814.8699451315338,675.5030378990696,779.552063645058,981.235694606399,1167.696871007119,1231.5576726422025,1031.7093721416459,1033.4933137801042,1570.714910679444,870.6604357541338
ABHD17C,2779.297642414626,3246.4681408707015,5461.7436228782,4476.455653117953,3779.04361740291,2235.104924052582,1964.55258410851,1645.0434172584396,2559.687588246568,3414.558172106569,1897.440846966929,1545.5338493703393,1575.8258773785187,2915.2039455951544,1068.7694507705098,131.1013006361054,140.92937299873003,100.6055438193022,159.46344270857298,81.1869859706427
SUCO,377.65806134551764,254.4416809063729,467.3549957309132,719.5328557816197,383.2820434726884,866.6195261957712,1328.229210524095,922.7340054084126,1107.1639605096975,1331.3852891810393,539.8145665402038,855.0671365811007,2686.6278475366958,1355.4151900156376,1116.4665998131607,290.01196807380893,510.5365965237012,310.96258998693406,279.06102474000284,417.13313481468145
PEX11B,831.2272908006871,905.6046765320699,1215.9785586866092,1040.2020347790117,1100.958114668998,766.4221367573151,519.4085368716159,948.7631734030083,1170.0710037204758,770.6310165781906,727.3523246706561,607.0976669725816,1157.7821251684518,971.5324986152356,604.1638878735773,730.9890702134363,842.9171932188193,624.2116696061249,653.8001151051492,628.4992534623892
LY6E,2598.0597285528324,2945.292273675402,1086.5736285185533,3528.0783496849513,2121.739883509525,4007.016653069495,2047.606839696837,9872.863420350097,4941.348244206633,3679.6656381806856,7631.683592626286,7968.513156988709,7582.119254370014,5940.781745589792,2550.9141932439943,32252.906339824898,34692.55716064963,25169.677871883603,59866.56297886602,20377.93347863132
LRRC27,371.96472373729375,320.9080791839561,260.94878480169984,154.23685343275,332.43850709365836,205.66832568946296,187.1915145183068,211.4869899560889,191.86648179287369,205.3283315672076,319.9173521048892,208.7788925152188,281.0846562479116,194.063919823268,358.6118983577083,343.64431833403387,228.6778505262412,235.50843212245738,362.77933216200364,299.55198271926787
RPS26,31250.7301315409,16023.594672262969,42727.155124579964,11491.004271096694,41957.650636479615,27247.537455978807,13479.066803096372,9690.008515188065,15134.176455649036,20686.179632195006,40505.213987422714,11777.12469451036,9904.053695216784,13454.694141246953,17405.926278416253,55900.80003789815,20615.574129418,26749.6422077731,28105.43177738599,17225.638781978087
KMT2E-AS1,234.37573153854993,247.17191859476227,240.6290023786166,133.43281273716977,160.3526916569411,249.6145491273824,86.24865003403214,149.66771596892445,69.1977475318561,93.56734096733513,179.44789405423668,123.27217885710871,180.75415571749556,92.78681166550005,734.8894074719539,365.49453510671816,200.7578804038513,246.94088028374173,75.7451352865722,229.56320171009315
